ID,TYPE,MODEL
1,2,Grumman AA-5
2,3,A22 Foxbat
3,1,Ka-6 cr
4,6,UFO
5,1,Antares 18 S
6,1,Antares 18 T
7,1,Antares 20 E
8,1,Antares 23 E
9,1,Apis 2
10,2,Aquila A210
11,1,Arcus E
12,1,Arcus M
13,1,Arcus T
14,1,ASG-29
15,1,ASG-29E
16,1,ASH-25
17,1,ASH-25 EB
18,1,ASH-25 MI
19,1,ASH-26 E
20,1,ASH-30
21,1,ASH-31 MI
22,1,ASK-13
23,1,ASK-16
24,1,ASK-18
25,1,ASK-21
26,1,ASK-21 MI
27,1,ASK-23
28,1,Astir CS
29,1,Astir CS-77
30,1,ASW-12
31,1,ASW-15
32,1,ASW-17
33,1,ASW-19
34,1,ASW-20
35,1,ASW-22
36,1,ASW-22 B
37,1,ASW-22 BL
38,1,ASW-22 E
39,1,ASW-24
40,1,ASW-24 E
41,1,ASW-27
42,1,ASW-28
43,1,ASW-28 18
44,1,ASW-28t
45,1,Caudron C800
46,1,Castel 25-S
47,2,TB-9 Tampico
48,1,Baby
49,1,Banjo
50,2,Bellanca Citabria
51,1,Bergfalke II
52,1,Bergfalke III
53,1,Bergfalke IV
54,1,WA30 Bijave
55,1,Blanik
56,1,Breguet 901
57,1,Breguet 904
58,1,Breguet 905
59,1,BS-1
60,1,Calif A21S
61,1,Carat
62,2,Jodel D18
63,2,Cessna 120
64,2,Cessna 150
65,2,Cessna 152
66,2,Cessna 172
67,2,Cessna 177
68,2,Cessna 182
69,2,Cessna 206
70,2,Cessna 208
71,2,Cessna 305
72,1,Cirrus
73,1,Cirrus 18m
74,2,Cirrus SR20
75,2,Cirrus SR22
76,1,Cirrus Std
77,1,Astir Club
78,1,SZD-36 Cobra 15
79,2,Columbia 350
80,1,Concordia
81,1,Crystal
82,2,Jodel D140
83,1,D38
84,2,DA20 Katana
85,2,DA40
86,1,DFS Reiher
87,1,DG-100
88,1,DG-1000
89,1,DG-1000 T
90,1,DG-200
91,1,DG-300
92,1,DG-303
93,1,DG-400
94,1,DG-500
95,1,DG-505
96,1,DG-600
97,1,DG-800
98,1,DG-808 B
99,1,DG-808 C
100,2,DHC-1 Chipmunk
101,1,Diamant
102,1,SZD-56 Diana
103,1,SZD-56-2 Diana 2
104,1,Different Aircraft
105,1,Discus
106,1,Discus 2
107,1,Discus 2c
108,1,Discus 2cT
109,1,Discus 2t
110,1,Discus t
111,2,DR-300
112,2,DR-400
113,1,Duo Discus
114,1,Duo Discus t
115,1,Duo Discus x
116,1,Duo Discus xl
117,1,Duo Discus xlt
118,1,Duo Discus xt
119,2,DV20 Katana
120,3,DynAero MCR-01
121,2,DynAero MCR-4S
122,1,EB 28
123,1,EB 29
124,1,EB 29 D
125,1,Elfe S4
126,1,Elfe S4D
127,1,WA28 Espadon
128,1,Eta
129,2,Europa XS
130,3,Eurostar EV97
131,1,Experimental
132,1,Falcon-Glasfluegel
133,1,A60 Fauconnet
134,3,FK14
135,3,Flight Design CTSW
136,1,SZD-24 Foka
137,1,Genesis 2
138,2,Jodel D9
139,1,Glasflugel 304
140,1,Glasflugel 304S
141,1,Glasflugel 304S T
142,1,Glasflugel 604
143,1,Glasflugel H301
144,2,Grob G109
145,6,Ground Station
146,1,H36 Dimona
147,6,HangGlider
148,1,Hawker Hurricane
149,4,Helicopter
150,1,HK36 Super Dimona
151,1,Hornet
152,1,HPH 304C
153,1,HPH 304CZ-17
154,1,HPH 304S Shark
155,2,Husky A-1
156,3,Ikarus C42 B
157,3,Ikarus C42 C
158,1,IS-28B2
159,1,IS-28M2
160,1,IS-29D2
161,1,SZD-38 Jantar 1
162,1,SZD-42 Jantar 2/2b
163,1,SZD-48-1 Jantar Std 2
164,1,SZD-41 Jantar Std
165,1,SZD-45 Ogar
166,1,SZD-48-3 Jantar Std 3
167,1,Janus A
168,1,Janus B
169,1,Janus C
170,1,Janus Ce
171,1,Janus CM
172,1,WA21 Javelot
173,1,Astir Jeans
174,2,JOB 15
175,2,Jodel D120
176,1,JP 15/34
177,1,JP 15/36
178,1,JS-1 Revelation
