#DEVICE_TYPE,DEVICE_ID,AIRCRAFT_MODEL,REGISTRATION,CN,TRACKED,IDENTIFIED,AIRCRAFT_TYPE
'F','000000','HPH 304CZ-17','OK-7777','KN','Y','Y','1'
'O','000001','Paraglider','','','Y','Y','6'
'F','000002','LS-6 18','OY-XRG','G2','Y','Y','1'
'F','00000D','Ka-8','D-1749','W5','Y','Y','1'
'F','000010','Unknown','D-EEAC','AC','Y','Y','6'
'F','000011','Skylane Airlony','D-MTEW','EW','Y','Y','3'
'F','000013','PA-28','D-EZIP','IP','Y','Y','2'
'O','000015','Paraglider','36445','','Y','Y','6'
'F','0000FD','Taurus','F-JRDN','DN','Y','Y','1'
'F','000114','','','','N','N','2'
'O','000146','Paraglider','000146','','Y','Y','6'
'O','000287','Paraglider','32712','','Y','Y','6'
'F','000296','Unknown','D-IEST','','Y','Y','6'
'F','000333','ASG-29','N229CW','S2H','Y','Y','1'
'F','000338','Unknown','','','Y','Y','6'
'O','000343','Paraglider','Thomas','','Y','Y','6'
'F','000368','PIK-20 B','C-GORE','GP','Y','Y','1'
'F','000379','ASW-27','N127MM','MM','Y','Y','1'
'F','000414','Paraglider','','','Y','Y','6'
'F','000451','ASG-29','N232FG','FG','Y','Y','1'
'F','000457','ASW-20','OK-9496','96','Y','Y','1'
'F','000481','Pegase','n626ca','E2','Y','Y','1'
'F','000503','SZD-48-1 Jantar Std 2','SP-3152','DG','Y','Y','1'
'F','000597','LS-6','D-8997','IV','Y','Y','1'
'F','000617','ASW-20','OE-5292','A2','Y','Y','1'
'F','000634','Ultralight','D-MJPH','','Y','Y','3'
'F','000654','Apis 2','G CJDL','DL','Y','Y','1'
'O','000840','','','','Y','N','6'
'O','000871','Paraglider','D-NDII','','Y','Y','6'
'O','000888','Paraglider','52143','','Y','Y','6'
'F','000935','ASH-25 MI','HB-2393','RM','Y','Y','1'
'F','000967','Paraglider','38693','','Y','Y','6'
'O','001011','Paraglider','','','Y','Y','6'
'F','001030','ASW-19','D-6985','KHM','Y','Y','1'
'F','001032','LS-1 d','F-CDVV','L21','Y','Y','1'
'F','001067','Experimental','OE-CCM','','Y','Y','1'
'F','001352','Motorplane','HBEHS','','Y','Y','2'
'F','001474','Discus 2','N164AF','7AF','Y','Y','1'
'O','001549','Paraglider','36445','','Y','Y','6'
'F','001571','Mooney','DENWU','','Y','Y','2'
'O','001661','Paraglider','','','Y','Y','6'
'F','001954','Gyrocopter','I-B826','','Y','Y','3'
'F','002012','Paraglider','CH48475','HrL','Y','Y','6'
'F','002047','Flight Design CTSW','G-RILA','','Y','Y','3'
'F','002250','DG-600','D-KHPE','','Y','Y','1'
'O','002427','Paraglider','10776','','Y','Y','6'
'F','002444','LS-1 d','D-0685','12','Y','Y','1'
'F','002705','Motorglider','G-CKIU','KIU','Y','Y','1'
'F','002765','','','','N','N','1'
'F','002787','','','','N','N','1'
'F','002814','','','','N','N','1'
'F','002999','Paraglider','38032','','Y','Y','6'
'F','003191','Ventus ct','G-CJKY','243','Y','Y','1'
'F','003383','ASH-31 MI','D-KCHD','HD','Y','Y','1'
'F','003573','Paraglider','17019','SHV','Y','Y','6'
'F','003665','Paraglider','110CE9','BIR','Y','Y','6'
'F','003733','Nimbus 3','VH-ZBV','BV','Y','Y','1'
'F','003751','DG-808 C','D-KKCB','CB','Y','Y','1'
'F','003812','HangGlider','','','Y','Y','6'
'F','003854','Duo Discus xlt','G-CKRO','KRO','Y','Y','1'
'F','003974','PIK-20 D','C-GFOP','OP','Y','Y','1'
'F','003998','LAK-17 AT','','','Y','Y','1'
'F','003B7D','ASW-20','D-3081','DH','Y','Y','1'
'F','003EB8','DG-800','D-KNKJ','DG','Y','Y','1'
'F','004163','Mosquito','F-CEQV','M1','Y','Y','1'
'F','004172','Paraglider','D-MXDB','','Y','Y','6'
'F','0042F9','Discus 2','D-5480','BW2','Y','Y','1'
'F','004335','','','','N','N','3'
'F','004400','ASK-21','OY-XVY','VY','Y','Y','1'
'F','004604','Ventus 2','D-6965','','Y','Y','1'
'I','004641','SZD-55','C-GKAK','AK','Y','Y','1'
'F','004664','UFO','OY-XUG','G3','Y','Y','6'
'F','004701','','','','N','N','1'
'F','004702','','','','N','N','1'
'F','004811','ASG-29','ZS-OKW','133','Y','Y','1'
'I','004848','Ultralight','4848','','Y','Y','3'
'F','004925','ASW-19','C-GBYR','DX','Y','Y','1'
'F','004D37','ASG-29','D-7429','9','Y','Y','1'
'O','004F0F','L-Spatz 55','LY-GJH','AK','Y','Y','1'
'F','005071','LS-4','G-DEOA','PL','Y','Y','1'
'F','005196','JS-1 C21','N213DT','DT','Y','Y','1'
'F','005255','Duo Discus xlt','D-KKSV','SV','Y','Y','1'
'F','005610','MDM-1 Fox','OE-5610','FOX','Y','Y','1'
'O','00582E','Towplane','LKVP-T1','TP1','Y','Y','2'
'F','006203','','','','N','N','1'
'F','006569','Discus 2','D-6322','HUN','Y','Y','1'
'O','006704','','','','N','N','2'
'F','0083C2','JS-3 18M','ZT-GML','ML','Y','Y','1'
'F','00901A','JS-1 C21','ZS-GBX','BJ','Y','Y','1'
'F','009181','Nimbus 4DT','D-KTMT','ZY','Y','Y','1'
'O','009445','VSO-10','OK-1516','16','Y','Y','1'
'F','00A98C','Discus','D-KAMR','MR','Y','Y','1'
'O','00BE02','UFO','OKXAE22','SLZ','Y','Y','6'
'F','00C94D','Apis 2','F-JDYM','FM','Y','Y','1'
'F','00DABC','JS-1 B Revelation','','N1','Y','Y','1'
'F','00DEFF','ASK-21','D-7070','','Y','Y','1'
'F','00EF48','Ventus cM','D-KBDV','MI','Y','Y','1'
'F','00F282','Pegase','F-CGED','ED','Y','Y','1'
'F','00F8D7','ASW-15','OM-1615','TZ','Y','Y','1'
'O','011292','Paraglider','','','Y','Y','6'
'O','011821','VT-116 Orlik II','OK6430','T','Y','Y','1'
'O','013020','Unknown','OK-0550','E8','Y','Y','6'
'O','013032','Unknown','OK-3368','GL','Y','Y','6'
'O','014312','Skylane Airlony','OKUUO15','','Y','Y','3'
'O','014D71','Drone/UAV','METEO1','','Y','Y','5'
'O','01542C','Baloon','D-OVDS','DS','Y','Y','6'
'O','016027','PA-28','HA-BEC','HEC','Y','Y','2'
'O','01663C','Different Aircraft','FFVP003','F03','Y','Y','1'
'O','017B28','Cessna 172','HA-DOM','DOM','Y','Y','2'
'O','018A40','Gyrocopter','OMM-072','SZL','Y','Y','3'
'O','020827','Unknown','OK-5678','OG','Y','Y','6'
'O','021338','LS-1 f','CUBE3','IBI','Y','Y','1'
'O','022710','Astir CS','OK-5314','CS','Y','Y','1'
'O','023324','Drone/UAV','MET','','Y','Y','5'
'O','023753','Unknown','OK-6602','AH','Y','Y','6'
'O','023C0D','ASW-20','OK-xxxx','','Y','Y','1'
'O','024234','ASW-15','OK-2307','','Y','Y','1'
'O','024932','UFO','CC-TR23','T23','Y','Y','6'
'O','024B60','OldTimer','OM-OLD3','OB3','Y','Y','1'
'O','024F0A','Unknown','KEK EG','124','Y','Y','6'
'O','025B14','HPH 304CZ-17','LY-ZMZ','MZ','Y','Y','1'
'F','02810A','Paraglider','P21549','','Y','Y','6'
'O','030581','Paraglider','','','Y','Y','6'
'O','031C72','Paraglider','','','Y','Y','6'
'O','032536','Unknown','OK-7755','YU','Y','Y','6'
